id;curso_nome;curso_sigla;empresa;tipo_id
1;following pish cooperation;for yum;solemnly sculptural;1
2;huzzah vice;ouch aside woot;muskrat since cozy;2
3;scrutiny though;bah hand step-father;pullulate upside-down;3
4;nor appellation;crafty acknowledge bashfully;whoa wherever;4
5;next;encroach hungry lest;amidst generally terribly;5
6;fortunately vainly;through;storyboard coarse;6
7;eek oh breakpoint;useless;toward beyond;7
8;onto;less;toward unabashedly reaction;8
9;save thunderous;willing;unless;9
10;wisely heat;boiling where yippee;er as;10
