id;posto_sigla;descricao;prioridade;orgao;cod_sigpes
1;abacus except pour;admire;11624;2412;32648
2;novel until;climb quick-witted;30788;25636;16830
3;practical joyously furthermore;even wire;30087;30561;6165
4;before eek;decompose craft;18808;20637;28890
5;proximal sousaphone;worriedly;21419;19654;9673
6;flat woot wetly;deceivingly;29807;24732;4647
7;gosh;before behind;29187;8864;24087
8;while till;brr;25715;20657;27829
9;woof ultimately thirsty;rigid exeunt;2091;650;22950
10;properly amidst hurtful;gosh shakily destruction;9239;9087;24218
